tf	cell_line	fold	auc_roc	mcc	features	best_params
ATF2	HepG2	3	0.8682232386625537	0.5874645423313597	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 300}
ATF2	HepG2	4	0.8879019962415347	0.6716611212760922	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 300}
ATF2	HepG2	5	0.8264167067243496	0.5022706888406265	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 300}
ATF2	HepG2	6	0.8653883814915702	0.5782444064803851	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 300}
ATF2	HepG2	7	0.8492940946073458	0.5612014175580557	1mer	{'classifier__learning_rate': 0.3, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}
ATF2	HepG2	8	0.8539229824280298	0.5916079783099616	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 300}
ATF2	HepG2	9	0.8136338549733839	0.48523206751054854	1mer	{'classifier__learning_rate': 0.2, 'classifier__max_depth': 3, 'classifier__n_estimators': 200}
ATF2	HepG2	10	0.8559169648738627	0.5237712126356704	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 300}
ATF2	HepG2	1	0.8591461901216183	0.584155790371954	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 50}
ATF2	HepG2	2	0.831595929511045	0.5524423646050052	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.2, 'classifier__max_depth': 3, 'classifier__n_estimators': 50}
ATF2	HepG2	3	0.8600503492536256	0.5800060844242808	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 200}
ATF2	HepG2	4	0.890366273091515	0.6465017740218021	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}
ATF2	HepG2	5	0.8242090833021773	0.5196538854300718	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 50}
ATF2	HepG2	6	0.850629350709466	0.604150452166669	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}
ATF2	HepG2	7	0.8479410350905302	0.5570860145311556	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}
ATF2	HepG2	8	0.8449678648364758	0.6070394777445784	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}
