fileid	pos	features	r2_test	mse_test	mae_test	best_alpha
GSM1586784_ScrR3A_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.6739029049504326	0.011789400319092938	0.0885136389055456	51.397479495899184
GSM1586785_ScrH-12A_Exd_16mer	all	('1mer',)	0.333249135765179	0.010432421419351086	0.08257490365073862	1364.9317863572714
GSM1586785_ScrH-12A_Exd_16mer	all	('1mer',)	0.3267123698619584	0.011200643069426077	0.0857192161419659	1342.5329065813164
GSM1586785_ScrH-12A_Exd_16mer	all	('1mer',)	0.23682512457174787	0.00937493943694715	0.07577842158725463	1369.7315463092618
GSM1586785_ScrH-12A_Exd_16mer	all	('1mer',)	0.37269414433496495	0.011164099269246669	0.072698983843734	1392.130426085217
GSM1586785_ScrH-12A_Exd_16mer	all	('1mer',)	0.3180393272768266	0.017304785206962752	0.10009150099190371	1301.734946989398
GSM1586785_ScrH-12A_Exd_16mer	all	('1mer',)	0.33784228657434	0.014234202737086636	0.08531704543346394	1495.3252650530108
GSM1586785_ScrH-12A_Exd_16mer	all	('1mer',)	0.3144013355023353	0.013492455489032206	0.0883922101666354	1400.1300260052012
GSM1586785_ScrH-12A_Exd_16mer	all	('1mer',)	0.3240149049054226	0.013499390993163208	0.08618301670391687	1394.5303060612123
GSM1586785_ScrH-12A_Exd_16mer	all	('1mer',)	0.2803072195940346	0.01511356063878896	0.09163827046587789	1823.3088617723547
GSM1586785_ScrH-12A_Exd_16mer	all	('1mer',)	0.31849463996661853	0.012274855617635574	0.08341907060667976	1234.5383076615324
GSM1586785_ScrH-12A_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.44171531929747	0.008735288356529864	0.07558884725793574	1670.5165033006601
GSM1586785_ScrH-12A_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.3828829815833139	0.01026620295093878	0.08284864501729232	2112.894378875775
GSM1586785_ScrH-12A_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.32358996243472293	0.008309108883018753	0.07097954971869645	1656.117223444689
GSM1586785_ScrH-12A_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.47085308444239726	0.009417174477094609	0.06729554401409955	1261.736947389478
GSM1586785_ScrH-12A_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.4236901618681187	0.014623890145612488	0.09376224030931724	1508.9245849169836
GSM1586785_ScrH-12A_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.41853528548173924	0.012499569910763175	0.08070842757878016	2245.6877375475096
GSM1586785_ScrH-12A_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.38512292509167323	0.012100667626745614	0.08216270754918192	2315.2842568513706
GSM1586785_ScrH-12A_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.3833347954188986	0.012314775531189145	0.082152314271588	1996.100220044009
GSM1586785_ScrH-12A_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.32393080869520774	0.014197464525124614	0.08997985748056507	4000.0
GSM1586785_ScrH-12A_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.35384767317561294	0.011638098515292863	0.08187629473512278	1769.7115423084617
GSM1586786_ScrH-12AR3A_Exd_16mer	all	('1mer',)	0.8163609874081657	0.00903115663926949	0.06589667275603735	47.39767953590719
GSM1586786_ScrH-12AR3A_Exd_16mer	all	('1mer',)	0.8190865697445733	0.0055417381167263465	0.05134637416112581	57.79715943188638
GSM1586786_ScrH-12AR3A_Exd_16mer	all	('1mer',)	0.7307044288514226	0.008922670843279853	0.07266138573055421	45.79775955191039
GSM1586786_ScrH-12AR3A_Exd_16mer	all	('1mer',)	0.5667319106610103	0.015490196386026557	0.07534814509666839	52.99739947989598
GSM1586786_ScrH-12AR3A_Exd_16mer	all	('1mer',)	0.32089794245685577	0.016542182026606945	0.08469344318801118	41.797959591918385
GSM1586786_ScrH-12AR3A_Exd_16mer	all	('1mer',)	0.4049948103163644	0.007765277023132746	0.06797845350476633	55.39727945589118
GSM1586786_ScrH-12AR3A_Exd_16mer	all	('1mer',)	0.6617840426667244	0.007866703254465207	0.0643063314450973	36.19823964792959
GSM1586786_ScrH-12AR3A_Exd_16mer	all	('1mer',)	0.7191253915752395	0.009147901952155507	0.0734802291472098	64.19683936787358
GSM1586786_ScrH-12AR3A_Exd_16mer	all	('1mer',)	0.7845024446632465	0.007334737057924308	0.06518802811408982	37.79815963192639
GSM1586786_ScrH-12AR3A_Exd_16mer	all	('1mer',)	0.7410415317385499	0.00716980516443934	0.06211448718051796	44.99779955991198
GSM1586786_ScrH-12AR3A_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.8776043695217621	0.006019277141660387	0.04810459650826378	32.998399679935986
GSM1586786_ScrH-12AR3A_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.8122500390561301	0.005751154646216855	0.05071950167567125	45.79775955191039
GSM1586786_ScrH-12AR3A_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.7894250350654475	0.0069770590430897825	0.06531432816953543	36.19823964792959
GSM1586786_ScrH-12AR3A_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.6306147610646089	0.013206257358897638	0.06646225386860888	20.998999799959993
GSM1586786_ScrH-12AR3A_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	-0.23462366547848745	0.030074079708415982	0.08632532282642717	32.998399679935986
GSM1586786_ScrH-12AR3A_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.45132399833886017	0.0071606453569068316	0.06359131714189933	58.59711942388478
GSM1586786_ScrH-12AR3A_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.6114325902258111	0.009037848276442004	0.061133773417796265	28.99859971994399
GSM1586786_ScrH-12AR3A_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.7359812299918383	0.008598918339784125	0.06942883941578841	51.397479495899184
GSM1586786_ScrH-12AR3A_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.8645935016234242	0.004608734702230986	0.05308207263917034	26.59871974394879
GSM1586786_ScrH-12AR3A_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.7863012938184255	0.005916694277275912	0.05152617611540288	34.59831966393279
GSM1586787_ScrH-12AGQ_Exd_16mer	all	('1mer',)	0.5321760047351898	0.007589648738248562	0.06725566815763759	316.9841968393679
GSM1586787_ScrH-12AGQ_Exd_16mer	all	('1mer',)	0.56372626745412	0.00500887373155997	0.05079811145807698	309.7845569113823
